strategy,buffer_scenario,buffer_fraction,cost_scenario,cycle_cost_bps,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events
funding_above_threshold,buffer_50pct,0.5,base,50,-0.1650128221532351,-0.11000854810215673,150.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.185,18.5,-0.1650128221532351,45.292282704963434,0.11563495483034868,0,,0.28302731751007615,74.0
funding_above_threshold,buffer_50pct,0.5,stress,100,-0.30652058483540123,-0.20434705655693416,150.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.37,37.0,-0.30652058483540123,45.292282704963434,0.11563495483034868,0,,0.28302731751007615,74.0
funding_above_threshold,buffer_100pct,1.0,fee_only,31,-0.10407348334863065,-0.05203674167431532,200.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.1147,11.469999999999999,-0.10407348334863065,95.29228270496343,0.05496112503640375,0,,0.28302731751007615,74.0
funding_above_threshold,buffer_100pct,1.0,base,50,-0.1650128221532351,-0.08250641107661755,200.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.185,18.5,-0.1650128221532351,95.29228270496343,0.05496112503640375,0,,0.28302731751007615,74.0
funding_above_threshold,buffer_100pct,1.0,stress,100,-0.30652058483540123,-0.15326029241770062,200.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.37,37.0,-0.30652058483540123,95.29228270496343,0.05496112503640375,0,,0.28302731751007615,74.0
positive_funding_low_vol_or_basis,buffer_25pct,0.25,fee_only,31,-0.09412318087220994,-0.07529854469776795,125.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.10229999999999999,10.229999999999999,-0.09412318087220994,21.50406041340986,0.24072296021366482,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_25pct,0.25,base,50,-0.14928542591939908,-0.11942834073551926,125.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.165,16.5,-0.14928542591939908,21.50406041340986,0.24072296021366482,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_25pct,0.25,stress,100,-0.27913130873437686,-0.22330504698750148,125.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.33,33.0,-0.27913130873437686,21.50406041340986,0.24072296021366482,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_50pct,0.5,fee_only,31,-0.09412318087220994,-0.06274878724813997,150.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.10229999999999999,10.229999999999999,-0.09412318087220994,46.50406041340985,0.11131331400551879,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_50pct,0.5,base,50,-0.14928542591939908,-0.0995236172795994,150.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.165,16.5,-0.14928542591939908,46.50406041340985,0.11131331400551879,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_50pct,0.5,stress,100,-0.27913130873437686,-0.18608753915625123,150.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.33,33.0,-0.27913130873437686,46.50406041340985,0.11131331400551879,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_100pct,1.0,fee_only,31,-0.09412318087220994,-0.04706159043610497,200.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.10229999999999999,10.229999999999999,-0.09412318087220994,96.50406041340986,0.053640448465629494,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_100pct,1.0,base,50,-0.14928542591939908,-0.07464271295969954,200.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.165,16.5,-0.14928542591939908,96.50406041340986,0.053640448465629494,0,,0.43708016121809223,66.0
positive_funding_low_vol_or_basis,buffer_100pct,1.0,stress,100,-0.27913130873437686,-0.13956565436718843,200.0,0.00410796,0.410796,-0.000578115035191118,-0.057811503519111795,0.33,33.0,-0.27913130873437686,96.50406041340986,0.053640448465629494,0,,0.43708016121809223,66.0
