strategy,buffer_scenario,buffer_fraction,cost_scenario,fee_multiplier,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,actual_fee_return,spread_slippage_proxy_return,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events,analysis_window_start_utc,analysis_window_end_utc_exclusive,mark_price_change_over_window,worst_adverse_short_excursion,policy_breach_rise_from_entry
funding_above_threshold,buffer_25pct,0.25,stress,3.0,-0.07548940573798923,-0.06039152459039139,125.0,0.00805467,0.8054669999999999,-0.001252092070227584,-0.1252092070227584,0.028359968854104908,0.056719937708209815,0.08507990656231473,8.507990656231474,-0.07637618456284445,4.710225724378455,1.2830691706560544,1,2023-11-09 03:00:00+00:00,0.08854166666666667,18.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
funding_above_threshold,buffer_50pct,0.5,fee_only,1.0,-0.01087390776794006,-0.007249271845293374,150.0,0.019258310000000004,1.9258310000000005,-0.001408233639351275,-0.1408233639351275,0.028738017051548152,0.0,0.028738017051548152,2.8738017051548153,-0.025966345298666926,6.416459885307162,1.1321276896577832,1,2023-12-05 19:00:00+00:00,0.16790674603174602,18.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
funding_above_threshold,buffer_50pct,0.5,base,1.5,-0.025013077084899416,-0.016675384723266278,150.0,0.019258310000000004,1.9258310000000005,-0.001408233639351275,-0.1408233639351275,0.028738017051548152,0.014369008525774076,0.04310702557732223,4.310702557732223,-0.03880608303919997,6.416459885307162,1.1321276896577832,1,2023-12-05 19:00:00+00:00,0.16790674603174602,18.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
funding_above_threshold,buffer_50pct,0.5,stress,3.0,-0.06629470918732139,-0.04419647279154759,150.0,0.019258310000000004,1.9258310000000005,-0.001408233639351275,-0.1408233639351275,0.028738017051548152,0.057476034103096305,0.08621405115464446,8.621405115464446,-0.07637618456284445,6.416459885307162,1.1321276896577832,1,2023-12-05 19:00:00+00:00,0.16790674603174602,18.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
funding_above_threshold,buffer_100pct,1.0,fee_only,1.0,-0.12122899960045308,-0.06061449980022654,200.0,0.11241978000000001,11.241978000000001,-0.0011126911465771938,-0.11126911465771938,0.24025385772983135,0.0,0.24025385772983135,24.025385772983135,-0.16993871818561834,42.672731854964866,0.189137128241128,0,,0.7816220238095238,154.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
funding_above_threshold,buffer_100pct,1.0,base,1.5,-0.22088251419825444,-0.11044125709912722,200.0,0.11241978000000001,11.241978000000001,-0.0011126911465771938,-0.11126911465771938,0.24025385772983135,0.12012692886491567,0.360380786594747,36.0380786594747,-0.24931155921443626,42.672731854964866,0.189137128241128,0,,0.7816220238095238,154.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
funding_above_threshold,buffer_100pct,1.0,stress,3.0,-0.45732657271770416,-0.22866328635885208,200.0,0.11241978000000001,11.241978000000001,-0.0011126911465771938,-0.11126911465771938,0.24025385772983135,0.4805077154596627,0.720761573189494,72.0761573189494,-0.45732657271770416,42.672731854964866,0.189137128241128,0,,0.7816220238095238,154.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
positive_funding_low_vol_or_basis,buffer_25pct,0.25,fee_only,1.0,0.0031045591237897074,0.0024836472990317658,125.0,0.04102729000000001,4.102729000000001,-3.1918788623297445e-07,-3.1918788623297445e-05,0.0378624436899492,0.0,0.0378624436899492,3.78624436899492,-0.027812429822398066,5.86025293960396,1.0373288261906706,1,2024-01-08 22:00:00+00:00,0.2516121031746032,24.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
positive_funding_low_vol_or_basis,buffer_25pct,0.25,base,1.5,-0.015743900524130106,-0.012595120419304084,125.0,0.04102729000000001,4.102729000000001,-3.1918788623297445e-07,-3.1918788623297445e-05,0.0378624436899492,0.0189312218449746,0.05679366553492379,5.679366553492379,-0.04209504219837468,5.86025293960396,1.0373288261906706,1,2024-01-08 22:00:00+00:00,0.2516121031746032,24.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
positive_funding_low_vol_or_basis,buffer_25pct,0.25,stress,3.0,-0.07027477619721956,-0.05621982095777565,125.0,0.04102729000000001,4.102729000000001,-3.1918788623297445e-07,-3.1918788623297445e-05,0.0378624436899492,0.0757248873798984,0.11358733106984759,11.358733106984758,-0.08789965233880459,5.86025293960396,1.0373288261906706,1,2024-01-08 22:00:00+00:00,0.2516121031746032,24.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
positive_funding_low_vol_or_basis,buffer_50pct,0.5,fee_only,1.0,-0.0904598256421707,-0.0603065504281138,150.0,0.10425267,10.425267,0.000615976285352704,0.0615976285352704,0.19944325698326515,0.0,0.19944325698326515,19.944325698326516,-0.10685465167450525,9.11971145311659,0.7863104511813873,0,,0.6666666666666666,128.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
positive_funding_low_vol_or_basis,buffer_50pct,0.5,base,1.5,-0.17694599089355934,-0.11796399392903956,150.0,0.10425267,10.425267,0.000615976285352704,0.0615976285352704,0.19944325698326515,0.09972162849163257,0.2991648854748977,29.916488547489774,-0.17694599089355934,9.11971145311659,0.7863104511813873,0,,0.6666666666666666,128.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
positive_funding_low_vol_or_basis,buffer_50pct,0.5,stress,3.0,-0.39040157438068,-0.2602677162537867,150.0,0.10425267,10.425267,0.000615976285352704,0.0615976285352704,0.19944325698326515,0.3988865139665303,0.5983297709497954,59.83297709497955,-0.39040157438068,9.11971145311659,0.7863104511813873,0,,0.6666666666666666,128.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
positive_funding_low_vol_or_basis,buffer_100pct,1.0,fee_only,1.0,-0.0904598256421707,-0.04522991282108535,200.0,0.10425267,10.425267,0.000615976285352704,0.0615976285352704,0.19944325698326515,0.0,0.19944325698326515,19.944325698326516,-0.10685465167450525,59.119711453116594,0.12129498353575174,0,,0.6666666666666666,128.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
positive_funding_low_vol_or_basis,buffer_100pct,1.0,base,1.5,-0.17694599089355934,-0.08847299544677967,200.0,0.10425267,10.425267,0.000615976285352704,0.0615976285352704,0.19944325698326515,0.09972162849163257,0.2991648854748977,29.916488547489774,-0.17694599089355934,59.119711453116594,0.12129498353575174,0,,0.6666666666666666,128.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
positive_funding_low_vol_or_basis,buffer_100pct,1.0,stress,3.0,-0.39040157438068,-0.19520078719034,200.0,0.10425267,10.425267,0.000615976285352704,0.0615976285352704,0.19944325698326515,0.3988865139665303,0.5983297709497954,59.83297709497955,-0.39040157438068,59.119711453116594,0.12129498353575174,0,,0.6666666666666666,128.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
